scorer,Dami,Dami,Dami,Dami,Dami,Dami,Dami,Dami,Dami,Dami,Dami,Dami,Dami,Dami
bodyparts,cere,cere,end of beak,end of beak,right eye,right eye,left eye,left eye,right claw,right claw,left claw,left claw,end of tail,end of tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Afina00/img000.png,1008.4147190302751,594.345914354006,1001.465954040269,625.6153568090338,983.2254459415028,596.9517012252583,1035.341183366549,604.7690618390153,982.3568503177519,854.056005855487,1049.2387133465616,851.4502189842347,1250.7528980567408,1058.1759774369186
labeled-data/Afina00/img003.png,1017.7041339826309,595.6324982167107,1012.026365962376,630.5102160554189,994.1819521844322,600.4991565197862,1045.2818643667258,608.6102536915788,981.204196709564,855.1876077140748,1057.4485101244147,855.1876077140748,1234.2704284694942,1070.1316827665794
labeled-data/Afina00/img005.png,1043.5859204890303,602.4451530045003,1034.1009429992682,631.6905002646006,1015.1309880197437,601.6547382136868,,,982.7239815963894,853.7970564831995,1057.0229719328602,856.1683008556402,1220.6388336312589,1074.3227831201716
labeled-data/Afina00/img007.png,1045.9106792937355,606.4061126372694,1038.8699368532148,638.0894536196121,1015.1074311164579,602.005648611944,,,971.9828836682692,855.4723764706855,1054.7116073443863,853.7121908605553,1199.9269201801235,1075.4955777369541
labeled-data/Afina00/img009.png,1053.5652488535814,604.5547051056825,1045.4541516817887,636.999093792853,1019.4986407320523,600.4991565197862,,,974.0764965700137,856.8098271484333,1052.754139136402,852.754278562537,1193.8872299255938,1075.8094507868343
labeled-data/Afina00/img010.png,1066.5168827325035,608.9021342760597,1060.8230186584087,634.9312271862076,1028.286652520724,601.5814518950806,,,981.1089216210808,857.8053352293493,1046.1816538964506,858.6187443827915,1180.394164214401,1072.54535173807
labeled-data/Afina00/img012.png,1070.9209999871916,611.0088613555475,1067.5110017075485,639.1413471626023,1035.11601805094,607.5988630759045,,,975.4410481571877,865.9062327588617,1076.035997406656,865.053733188951,1170.6634496667493,1078.1786256666385
labeled-data/Afina00/img013.png,1075.401383794128,615.7273209914817,1071.242360576403,640.6814602978319,1042.1291980523276,607.4092745560317,,,973.0894126380922,861.1096908372587,1075.401383794128,864.4369094114386,1166.0680899405338,1075.7152888718704
labeled-data/Afina00/img017.png,1082.0742537984297,618.1539653533126,1078.609069048478,647.6080357279016,1049.1549986738892,611.2235958534093,,,969.4557494250012,863.3157864123917,1071.6786995485747,865.9146749748554,1140.9823945476078,1076.424648534418
labeled-data/Afina00/img021.png,1083.0514144310366,618.182231994801,1077.9778068643036,648.6238773951991,1049.2273639861498,613.9542256891901,,,973.9688517462769,866.7890027647186,1064.448186686349,871.0170090703296,,
labeled-data/Afina00/img024.png,1088.1590158780068,621.9417544411258,1084.9897028769064,644.1269454488289,1054.8812293664523,614.0184719383747,,,972.4790913378403,870.7328250275116,1073.897107373055,869.1481685269614,,
labeled-data/Afina00/img025.png,1093.410324700361,619.265210631156,1089.9841646686991,646.6744908844516,1058.463492377409,611.7276585614998,,,971.4390275731952,866.6339649171497,1077.649988554716,869.3748929424793,,
labeled-data/Afina00/img026.png,1095.903956978506,615.5525408411418,1092.8503056214272,645.3256415726579,1059.2601406935628,610.2086509662543,,,980.6286182487893,863.6617136037764,1081.3991130323825,865.9519521215854,,
labeled-data/Afina00/img027.png,1099.1159475166453,620.2249953272742,1094.825199450148,648.8299824372573,1063.3597136291664,609.4981251610305,,,981.8355003657146,864.08251043988,1086.2437033171527,866.2278844731287,,
labeled-data/Afina00/img028.png,1100.433472757948,614.6188547466074,1095.558667880684,643.8676840101914,1066.3098386171,609.7440498693435,,,985.2662075325861,860.7965010484395,1081.5436038585501,865.6713059257035,,
labeled-data/Afina00/img030.png,1084.7382020356563,614.9665295095516,1077.0764804078055,642.8770868681509,1045.335062235281,612.2302003567477,,,978.0213650763062,861.236153261898,1077.6237462383663,866.7088115675057,,
labeled-data/Afina00/img031.png,1071.1560787473888,609.6815052029935,1062.6826561187484,639.7236399772644,1035.7217659367104,606.6002606107606,1085.021679412437,619.6955501277505,975.6374963881688,858.4920060258007,1079.6295013760293,862.3435617660919,,
labeled-data/Afina00/img034.png,1059.3675588585822,609.8577569925417,1057.7809478372087,640.7966719093281,1029.2219494524827,607.4778404604812,1080.7868076471266,621.7573396528442,972.1039526830309,864.5088259230141,1076.8202800936924,866.0954369443878,,
labeled-data/Afina00/img035.png,1062.9980812881063,608.4061228797981,1060.5054923791654,638.940337014321,1033.0870143808183,607.1598284253278,1082.9387925596313,619.6227729700311,976.3806167024186,863.2733388189794,1081.6924981051611,861.4038971372739,,
labeled-data/Afina00/img039.png,1066.32982359252,606.6630352207366,1061.5699905283989,633.6354225840888,1035.3909086757335,603.4898131779893,1083.7825448276303,614.5960903276049,977.4796063955949,860.5207986405222,1080.6093227848828,860.5207986405222,,
labeled-data/Afina00/img040.png,1066.718166760068,602.6387918171047,1062.9930800142342,633.1845031329419,1037.6624901425644,602.6387918171047,1091.3037392825713,613.0690347054394,984.0212410025576,855.199673184637,1084.5985831400703,858.9247599304709,,
labeled-data/Afina00/img042.png,1071.4275157010384,601.4496383537665,1068.3807626527482,634.9639218849566,1038.5225827795064,604.4963914020566,1095.1921894777004,610.5898974986366,988.5558327875503,851.8927389232044,1093.3641376487262,851.8927389232044,,
labeled-data/Afina00/img045.png,1051.6895054846748,604.3598048880426,1053.0001841545052,637.126771633803,1027.441950092812,608.2918408975338,1079.8690968860287,608.2918408975338,990.0876080026453,856.6654488303974,1094.9419015890785,856.6654488303974,,
labeled-data/Afina00/img047.png,1043.537052541081,603.1512211882832,1045.565155324924,642.3612083425784,1018.5237848736858,610.5875980623737,1076.6627313438476,609.2355295398118,990.1303458998859,855.3120006460779,1088.1553137856238,855.3120006460779,,
labeled-data/Afina00/img050.png,1035.8321216315558,613.219877724283,1037.1014104486546,644.3174537432068,1014.2542117408739,608.7773668644368,1067.564342059029,614.489166541382,979.3487692706533,859.4619082414752,1082.1611634556666,868.9815743697172,,
labeled-data/Afina00/img053.png,1033.8809953509076,611.2857069117779,1034.48574708804,642.1280455055241,1010.2956776027488,613.704713860307,1064.1185822075215,613.704713860307,978.243835534738,862.8624295588061,1076.2136169501673,864.6766847702029,,
