1000, 0.02387, 0.005
2000, 0.01607, 0.005
3000, 0.01364, 0.005
4000, 0.01167, 0.005
5000, 0.01132, 0.005
6000, 0.01056, 0.005
7000, 0.00978, 0.005
8000, 0.00948, 0.005
9000, 0.00923, 0.005
10000, 0.00912, 0.005
11000, 0.01117, 0.02
12000, 0.00920, 0.02
13000, 0.00917, 0.02
14000, 0.00855, 0.02
15000, 0.00818, 0.02
16000, 0.00847, 0.02
17000, 0.00738, 0.02
18000, 0.00728, 0.02
19000, 0.00716, 0.02
20000, 0.00692, 0.02
21000, 0.00678, 0.02
22000, 0.00663, 0.02
23000, 0.00648, 0.02
24000, 0.00641, 0.02
25000, 0.00641, 0.02
26000, 0.00641, 0.02
27000, 0.00614, 0.02
28000, 0.00613, 0.02
29000, 0.00592, 0.02
30000, 0.00579, 0.02
31000, 0.00591, 0.02
32000, 0.00575, 0.02
33000, 0.00562, 0.02
34000, 0.00567, 0.02
35000, 0.00556, 0.02
36000, 0.00567, 0.02
37000, 0.00547, 0.02
38000, 0.00539, 0.02
39000, 0.00555, 0.02
40000, 0.00539, 0.02
41000, 0.00543, 0.02
42000, 0.00539, 0.02
43000, 0.00553, 0.02
44000, 0.00498, 0.02
45000, 0.00528, 0.02
46000, 0.00539, 0.02
47000, 0.00513, 0.02
48000, 0.00518, 0.02
49000, 0.00516, 0.02
50000, 0.00510, 0.02
51000, 0.00512, 0.02
52000, 0.00495, 0.02
53000, 0.00516, 0.02
54000, 0.00503, 0.02
55000, 0.00499, 0.02
56000, 0.00493, 0.02
57000, 0.00475, 0.02
58000, 0.00489, 0.02
59000, 0.00494, 0.02
60000, 0.00496, 0.02
61000, 0.00502, 0.02
62000, 0.00487, 0.02
63000, 0.00482, 0.02
64000, 0.00482, 0.02
65000, 0.00476, 0.02
66000, 0.00475, 0.02
67000, 0.00500, 0.02
68000, 0.00475, 0.02
69000, 0.00479, 0.02
70000, 0.00463, 0.02
71000, 0.00485, 0.02
72000, 0.00478, 0.02
73000, 0.00468, 0.02
74000, 0.00449, 0.02
75000, 0.00452, 0.02
76000, 0.00465, 0.02
77000, 0.00467, 0.02
78000, 0.00446, 0.02
79000, 0.00441, 0.02
80000, 0.00459, 0.02
81000, 0.00474, 0.02
82000, 0.00466, 0.02
83000, 0.00462, 0.02
84000, 0.00447, 0.02
85000, 0.00447, 0.02
86000, 0.00462, 0.02
87000, 0.00431, 0.02
88000, 0.00468, 0.02
89000, 0.00452, 0.02
90000, 0.00447, 0.02
91000, 0.00448, 0.02
92000, 0.00442, 0.02
93000, 0.00440, 0.02
94000, 0.00446, 0.02
95000, 0.00450, 0.02
96000, 0.00441, 0.02
97000, 0.00423, 0.02
98000, 0.00446, 0.02
99000, 0.00428, 0.02
100000, 0.00443, 0.02
101000, 0.00437, 0.02
102000, 0.00448, 0.02
103000, 0.00456, 0.02
104000, 0.00432, 0.02
105000, 0.00423, 0.02
106000, 0.00453, 0.02
107000, 0.00423, 0.02
108000, 0.00427, 0.02
109000, 0.00426, 0.02
110000, 0.00422, 0.02
111000, 0.00446, 0.02
